"Ref","NC#","Field 1","Field 2","Item No","Description","Area","Sealant"
"HTH",373001,"R-1","L-3-6","100","T-Straight (COIL)",5.6,"SILICON & WRAP ENDS"
"HTH",373001,"R-1","L-3-6","101","T-Straight (COIL)",5.6,"SILICON & WRAP ENDS"
"HTH",373001,"R-1","L-3-6","102","TDFL STRT",1.8,"SILICON & WRAP ENDS"
"HTH",373001,"R-1","L-3-6","103","T-Taper",5.3,"SILICON & WRAP ENDS"
"HTH",373001,"R-1","L-3-6","104","T-Straight (COIL)",6.7,"SILICON & WRAP ENDS"
"HTH",373001,"R-1","L-3-6","105A","TDFL STRT",1.3,"SILICON & WRAP ENDS"
"HTH",373001,"R-1","L-3-6","*105A","TDFL STRT",0.0,"SILICON & WRAP ENDS"
"HTH",373001,"R-1","L-3-6","105","T-Taper",2.1,"SILICON & WRAP ENDS"
"HTH",373001,"R-1","L-3-6","106","T-Straight (COIL)",3.4,"SILICON & WRAP ENDS"
"HTH",373001,"R-1","L-3-6","107","T-Straight (COIL)",3.4,"SILICON & WRAP ENDS"
"HTH",373001,"R-1","L-3-6","108","TDFL STRT",1.9,"SILICON & WRAP ENDS"
"HTH",373001,"R-1","L-3-6","*108","TDFL STRT",0.0,"SILICON & WRAP ENDS"
"HTH",373001,"R-1","L-3-6","109","T-Taper",2.3,"SILICON & WRAP ENDS"
"HTH",373001,"R-1","L-3-6","110","T-Straight (COIL)",3.7,"SILICON & WRAP ENDS"
"HTH",373001,"R-1","L-3-6","111","TDFL STRT",2.3,"SILICON & WRAP ENDS"
"HTH",373001,"R-1","L-3-6","*111","TDFL STRT",0.0,"SILICON & WRAP ENDS"
"HTH",373001,"R-1","L-3-6","112","T-Taper",3.0,"SILICON & WRAP ENDS"
"HTH",373001,"R-1","L-3-6","113","T-Straight (COIL)",4.7,"SILICON & WRAP ENDS"
"HTH",373001,"R-1","L-3-6","114","T-Straight (COIL)",4.7,"SILICON & WRAP ENDS"
"HTH",373001,"R-1","L-3-6","115","TDFL STRT",2.1,"SILICON & WRAP ENDS"
"HTH",373001,"R-1","L-3-6","*115","TDFL STRT",0.0,"SILICON & WRAP ENDS"
"HTH",373001,"R-1","L-3-6","116","T-Taper",3.3,"SILICON & WRAP ENDS"
"HTH",373001,"R-1","L-3-6","117","T-Straight (COIL)",5.3,"SILICON & WRAP ENDS"
"HTH",373001,"R-1","L-3-6","*117","50 LAG CHANNEL",0.3,"None"
"HTH",373001,"R-1","L-3-6","*111","50 LAG CHANNEL",0.3,"None"
"HTH",373001,"R-1","L-3-6","*112","50 LAG CHANNEL",0.3,"None"
"HTH",373001,"R-1","L-3-6","*110","50 LAG CHANNEL",0.2,"None"
"HTH",373001,"R-1","L-3-6","*109","50 LAG CHANNEL",0.2,"None"
"HTH",373001,"R-1","L-3-6","*105","50 LAG CHANNEL",0.2,"None"
"HTH",373001,"R-1","L-3-6","*100","50 LAG CHANNEL",0.4,"None"
"HTH",373001,"R-1","L-3-6","*104","50 LAG CHANNEL",0.4,"None"
