"Ref","NC#","Field 1","Field 2","Item No","Description","Area","Sealant"
"HTH",433001,"Base-1","","229","T-Taper",3.2,"SILICON & WRAP ENDS"
"HTH",433001,"Base-1","","228","TDFL STRT",1.5,"SILICON & WRAP ENDS"
"HTH",433001,"Base-1","","*228","TDFL STRT",0.0,"SILICON & WRAP ENDS"
"HTH",433001,"Base-1","","213","T-Straight (COIL)",3.8,"SILICON & WRAP ENDS"
"HTH",433001,"Base-1","","223","T-Radius Offset",4.3,"SILICON & WRAP ENDS"
"HTH",433001,"Base-1","","222","TDFL STRT",1.7,"SILICON & WRAP ENDS"
"HTH",433001,"Base-1","","*222","TDFL STRT",0.0,"SILICON & WRAP ENDS"
"HTH",433001,"Base-1","","224","T-Straight (COIL)",3.8,"SILICON & WRAP ENDS"
"HTH",433001,"Base-1","","220","TDFL STRT",3.2,"SILICON & WRAP ENDS"
"HTH",433001,"Base-1","","*220","TDFL STRT",0.0,"SILICON & WRAP ENDS"
"HTH",433001,"Base-1","","221","T-Straight (COIL)",3.8,"SILICON & WRAP ENDS"
"HTH",433001,"Base-1","","219","T-Straight (COIL)",3.8,"SILICON & WRAP ENDS"
"HTH",433001,"Base-1","","212","T-Straight (COIL)",3.8,"SILICON & WRAP ENDS"
"HTH",433001,"Base-1","","216","T-Shoe",0.5,"SILICON & WRAP ENDS"
"HTH",433001,"Base-1","","214","T-Straight (COIL)",3.8,"SILICON & WRAP ENDS"
"HTH",433001,"Base-1","","211","T-RAD-B",3.9,"SILICON & WRAP ENDS"
"HTH",433001,"Base-1","","*210","50 LAG CHANNEL",0.2,"None"
"HTH",433001,"Base-1","","*217","50 LAG CHANNEL",0.1,"None"
"HTH",433001,"Base-1","","229A","SQ CANVAS",0.9,"None"
"HTH",433001,"Base-1","","227","T-RAD-B",1.6,"SILICON & WRAP ENDS"
"HTH",433001,"Base-1","","226","TDFL STRT",2.3,"SILICON & WRAP ENDS"
"HTH",433001,"Base-1","","*226","TDFL STRT",0.0,"SILICON & WRAP ENDS"
"HTH",433001,"Base-1","","225","T-RAD-B",1.6,"SILICON & WRAP ENDS"
"HTH",433001,"Base-1","","*216","50 LAG CHANNEL",0.2,"None"
"HTH",433001,"Base-1","","217","T-RAD-B",1.0,"SILICON & WRAP ENDS"
"HTH",433001,"Base-1","","218","T-RAD-B",1.5,"SILICON & WRAP ENDS"
"HTH",433001,"Base-1","","218A","T-SPIGOT 70",0.1,"SILICON & WRAP ENDS"
"HTH",433001,"Base-1","","210","TDFL STRT",3.9,"SILICON & WRAP ENDS"
"HTH",433001,"Base-1","","210A","T-SPIGOT 70",0.2,"SILICON & WRAP ENDS"
"HTH",433001,"Base-1","","215","T-Straight (COIL)",3.8,"SILICON & WRAP ENDS"
