"Ref","NC#","Field 1","Field 2","Item No","Description","Area","Material","Material"
"WD",0,"L-9","","52","TDFL-LPE STRT",0.4,"*NO BEAD GAL x 0.6",""
"WD",0,"L-9","","52/1","250 Dia 100 Deep",0.2,"NO BEAD GAL x 0.6",""
"WD",0,"L-9","","53","T-RAD-B",0.6,"*NO BEAD GAL x 0.6",""
"WD",0,"L-9","","54","TDFL STRT",1.0,"*NO BEAD GAL x 0.6",""
"WD",0,"L-9","","55","T-Taper",0.6,"*NO BEAD GAL x 0.6",""
"WD",0,"L-9","","56","T-RAD-B",0.6,"*NO BEAD GAL x 0.6",""
"WD",0,"L-9","","57","TDFL STRT",0.6,"*NO BEAD GAL x 0.6",""
"WD",0,"L-9","","58","T-Shoe",0.3,"*NO BEAD GAL x 0.6",""
"WD",0,"L-9","","59","TDFL STRT",0.5,"*NO BEAD GAL x 0.6",""
"WD",0,"L-9","","60","T-Taper",0.4,"*NO BEAD GAL x 0.6",""
"WD",0,"L-9","","61","T-RAD-B",0.5,"*NO BEAD GAL x 0.6",""
"WD",0,"L-9","","62","TDFL STRT",0.7,"*NO BEAD GAL x 0.6",""
